fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20,fold_21,fold_22,fold_23,fold_24,fold_25,fold_26,fold_27,fold_28,fold_29,fold_30,fold_31,fold_32,fold_33,fold_34,fold_35,fold_36,fold_37,fold_38,fold_39
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,1.0,0.9991,0.9991,0.9991,1.0,0.9991,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,1.0,0.9991,1.0
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,1.0,1.0,1.0,0.9991,1.0
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,1.0,0.9991,0.9991,1.0
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,1.0,0.9991,0.9991,1.0
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,1.0,0.9991,0.9991,1.0
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,1.0,0.9991,0.9991,1.0
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,1.0,0.9991,0.9991,1.0
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,1.0,0.9991,0.9991,1.0
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,1.0,0.9991,0.9991,1.0
0.9991,1.0,0.9991,0.9991,1.0,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,1.0,0.9991,0.9991,1.0
